Sub0,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6
CS380,EE312,CS570,,,,
EE209,CS204,CS206,,,,
EE205,CS230,,,,,
CS220,CS330,CS376,CS320,,,
CS470,CS431,EE424,CS360,CS411,,
CS576,CS492,CS492,IE471,,,
CS206,CS311,ID219,,,,
CS300,CS230,ID301,,,,
CS320,ID211,ID301,,,,
CS376,CS330,ID304,ID218,,,
CS220,ID217,CS360,ID307,,,
EE201,EE211,EE210,EE485,,,
EE304,EE305,,,,,
EE204,BTM235,,,,,
CS204,CS206,CS311,,,,
CS230,CS300,CS454,,,,
EE202,CS320,CS360,CS372,,,
EE210,CS376,CS489,,,,
CS330,CS470,CD401,,,,
CS220,CS380,,,,,
EE201,EE204,EE485,CS206,,,
EE202,EE209,EE305,CS204,EE303,,
EE414,CS230,CS300,CS376,CS360,,
CS320,CS473,CS482,,,,
CS311,CS402,CS453,CS457,CS481,CS492,
CS479,CS489,,,,,
EE201,EE204,EE209,EE485,,,
MS310,EE209,EE211,MS212,,,
MS212,MS216,EE202,EE210,,,
MS213,MS381,EE304,EE305,,,
MS311,MS321,EE303,EE362,,,
MS340,MS431,MS482,EE305,EE321,EE488,
MS331,EE403,CS311,,,,
MS214,MS322,MS354,MS481,EE405,,
EE201,EE209,EE211,EE485,CS206,,
EE201,EE202,CS204,CS311,CS320,,
EE202,EE304,CS202,CS230,,,
EE210,EE213,CS311,CS320,,,
EE210,EE303,EE305,EE372,CS372,CS380,
EE205,EE312,EE326,EE405,EE432,CS300,
CS220,CS330,CS360,CS376,,,
EE204,EE485,CS211,CS300,CS320,,
EE201,EE210,,,,,
EE204,EE209,EE303,EE485,,,
CS204,CS206,EE202,EE305,,,
EE321,EE414,EE474,EE477,,,
CS376,CD402,,,,,
CS376,CS360,,,,,
CS330,CS492,CS320,EE201,,,
CS230,CS204,CS220,MSB230,,,
CS300,CS311,EE209,EE201,,,
CS206,CS492,,,,,
CS206,CS204,IE331,,,,
IE343,CS470,IE471,IE361,CS320,EE210,
EE211,MS212,EE201,EE485,,,
EE202,EE210,EE485,BTM230,,,
EE209,EE303,EE381,EE201,,,
EE209,EE304,EE362,EE326,,,
CH221,EE463,EE403,EE305,,,
CS206,EE403,EE465,,,,
EE202,EE210,EE209,EE485,,,
EE211,EE304,ID202,EE485,,,
CS206,EE303,ID219,,,,
